Min,Mean
20138,25431.6
18601,24256.1
18601,23834.8
18364.2,23369
18364.2,22997.7
18364.2,22633.8
18250.9,22608.1
18250.9,22412.7
17966,22394.3
17809.9,22306.7
17809.9,22339.7
17236.5,22206.8
17236.5,22252.4
17236.5,22369.1
17236.5,22410.7
16599,22367.4
16599,22272.9
16599,22017.3
16599,21889.9
16599,22009.6
16599,21827
15922,21544.9
15922,21699.7
15922,21692
15922,21216.3
15922,21380.5
15922,21269.1
15922,21568.2
15855,21183.5
15855,21063.3
15855,21061.2
15855,20866.5
15855,20796.7
15830,20729.8
15830,20607.8
15399.3,20918.3
15399.3,20814.4
15173.3,20594.2
15088.3,20161.8
15073.2,20167.6
15073.2,19930.3
15053,19561.6
15053,19782.7
15053,19551.5
15053,19499.8
15053,19767.9
14054.3,19791.9
14054.3,19934.6
14054.3,19685.2
14054.3,19794.7
14054.3,19778.7
14054.3,19910.6
14054.3,19611.6
14054.3,19714.4
14054.3,19711.3
14054.3,19777.7
14054.3,19642.6
14054.3,19395.9
14054.3,19277.1
14054.3,19612.2
14054.3,19479.1
14054.3,19110
14054.3,19405.1
14054.3,19349
14054.3,19407.4
14054.3,19417.7
14054.3,19513.6
14054.3,19370.7
14054.3,19079.2
13703.3,19550
13703.3,19775.7
13703.3,19845.4
13703.3,19701
13703.3,19573.3
13703.3,19616.2
13703.3,19494.5
13703.3,19485.9
13703.3,19456.7
13703.3,19444.8
13703.3,19418.5
13703.3,19466.9
13703.3,19146.2
13703.3,19151.2
13703.3,19417.7
13618.3,19205.5
13618.3,19160.8
13618.3,18981.7
13618.3,19041.9
13618.3,19318.7
13618.3,19122.5
13618.3,19270.3
13618.3,18910.6
13618.3,18987.6
13618.3,19109.3
13618.3,18800.6
13039.3,18707.9
13039.3,18898.2
13039.3,18615.3
13039.3,18616.5
13039.3,18647.1
13039.3,18862.7
13039.3,18944.8
13039.3,18750
13039.3,18738.8
13039.3,18978.3
13039.3,18612.3
13039.3,18223.6
13039.3,18120.4
13039.3,18409.9
13039.3,18474.5
13023.3,18655
13023.3,18629.3
13023.3,18492.3
13023.3,18553.7
13023.3,18664.2
13023.3,18836.5
13023.3,18656.3
13022.7,18880.1
13022.7,18680.4
13022.7,18752.6
13022.7,18663.7
12623.7,18601.6
12623.7,18565.8
12623.7,18796.5
12533.3,18529.4
12533.3,18597.3
12533.3,18619.5
12533.3,18597.6
12533.3,18596.4
12533.3,18573.5
12533.3,18526.8
12533.3,18438.8
12533.3,18496.6
12533.3,18709.2
12533.3,18418.8
12533.3,18788.1
12533.3,18642.1
12533.3,18833
12533.3,18625.4
12533.3,18620.9
12533.3,18620.1
12533.3,18852.9
12533.3,18734
12533.3,18798.3
12533.3,18709
12533.3,18628.4
12533.3,18585.9
12533.3,18645
12533.3,18691.3
12533.3,18658.3
12533.3,18698.3
12533.3,18915.4
12533.3,18701.9
12533.3,18832.1
12533.3,18528.9
12533.3,18670.5
12533.3,18705
12533.3,18513.2
12533.3,18745.6
12533.3,18743.7
12533.3,18421.7
12533.3,18711.8
12533.3,18819.1
12533.3,18772.1
12533.3,18660.5
12533.3,18623.3
12533.3,18742.2
